kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_impact,koi_prad,koi_steff,koi_srad,koi_slogg,koi_kepmag
"K06518.01","FALSE POSITIVE",18.611957253,4.24721,124833,0.952,65.5,6492.00,1.1700,4.320,13.528
"K06519.01","FALSE POSITIVE",0.73240662,4.33,329,0.8618,3.65,7392.00,1.7720,4.135,11.396
"K06520.01","FALSE POSITIVE",2.954598,24.79,337.8,1.3662,89.95,6955.00,2.1610,3.885,12.734
"K06521.01","FALSE POSITIVE",0.562006231,3.496,14.2,0.678,0.58,6609.00,1.4550,4.170,9.807
"K06522.01","FALSE POSITIVE",3.21559054,16.261,202.4,1.153,18.8,6300.00,1.0360,4.414,14.128
"K06523.01","FALSE POSITIVE",1.547426532,16.1346,532.9,0.947,3.62,6612.00,1.2640,4.303,13.755
"K06524.01","FALSE POSITIVE",12.851722103,5.71731,42518.6,1.15,47.26,5838.00,0.9670,4.438,15.205
"K06525.01","FALSE POSITIVE",4.2055797,19.4,100.5,0.9883,1.8,6190.00,1.2590,4.261,13.394
"K06654.01","FALSE POSITIVE",0.957476003,0.6624,450.7,0.327,2.47,6312.00,1.1220,4.338,13.483
"K06655.01","FALSE POSITIVE",1.559360638,5.4458,280066,0.647,94.2,7002.00,1.4880,4.193,14.091
"K06658.01","FALSE POSITIVE",2.313367981,2.42645,13437.5,1.247,33.55,5508.00,0.7640,4.598,13.460
"K06659.01","FALSE POSITIVE",76.01811375,13.4849,80671,0.788,63.58,6703.00,1.8920,4.018,13.755
"K06787.01","FALSE POSITIVE",1.574063832,5.6357,1118.1,1.237,28.63,5951.00,0.9620,4.411,14.636
"K06788.01","FALSE POSITIVE",2.51989935,1.55,147.2,0.4448,1.04,5646.00,0.8410,4.549,15.604
"K06789.01","FALSE POSITIVE",3.867613816,5.36467,340908,0.553,69.23,5780.00,1.0460,4.364,15.244
"K06790.01","FALSE POSITIVE",0.733726452,2.309,114.6,0.291,0.86,5855.00,0.7970,4.578,15.770
"K06791.01","FALSE POSITIVE",36.473115046,2.91005,161926,1.003,53.1,5452.00,0.7660,4.594,14.359
"K06792.01","FALSE POSITIVE",4.238855579,5.2235,68002,1.031,38.01,5655.00,0.8040,4.482,14.858
"K06794.01","FALSE POSITIVE",1.17033848,11.56,17.3,0.1381,0.98,8027.00,2.3140,3.997,12.331
"K06795.01","FALSE POSITIVE",7.841066931,5.47901,342094,0.579,56.33,5973.00,0.8290,4.562,15.144
"K06920.01","FALSE POSITIVE",4.292599454,4.73293,140032,0.89,64.04,6467.00,1.1740,4.377,15.573
"K06922.01","FALSE POSITIVE",2.113197701,3.46341,57315.5,0.909,50.13,6215.00,1.4630,4.138,13.774
"K06923.01","FALSE POSITIVE",11.02822674,8.275,278035,0.351,75.47,6271.00,1.3870,4.199,12.956
"K06924.01","FALSE POSITIVE",70.37626987,6.4205,116050,0.944,40.43,5458.00,0.7550,4.603,15.108
"K07051.01","FALSE POSITIVE",0.772803664,1.368,290.2,0.199,1.11,4535.00,0.6680,4.607,15.856
